Marshall	CITY	LOCATION	1
Martin	CITY	LOCATION	1
Martinez	CITY	LOCATION	1
Mason	CITY	LOCATION	1
Mata	CITY	LOCATION	1
Matthews	CITY	LOCATION	1
Maynard	CITY	LOCATION	1
Mayo	CITY	LOCATION	1
Medina	CITY	LOCATION	1
Melton	CITY	LOCATION	1
Mendez	CITY	LOCATION	1
Mendoza	CITY	LOCATION	1
Merritt	CITY	LOCATION	1
Middleton	CITY	LOCATION	1
Miranda	CITY	LOCATION	1
Mitchell	CITY	LOCATION	1
Molina	CITY	LOCATION	1
Monroe	CITY	LOCATION	1
Montgomery	CITY	LOCATION	1
Moore	CITY	LOCATION	1
Mora	CITY	LOCATION	1
Morales	CITY	LOCATION	1
Moreno	CITY	LOCATION	1
Morris	CITY	LOCATION	1
Morton	CITY	LOCATION	1
Munoz	CITY	LOCATION	1
Murillo	CITY	LOCATION	1
Murphy	CITY	LOCATION	1
Murray	CITY	LOCATION	1
Nelson	CITY	LOCATION	1
Newton	CITY	LOCATION	1
Norman	CITY	LOCATION	1
Norton	CITY	LOCATION	1
Oliver	CITY	LOCATION	1
Ortega	CITY	LOCATION	1
Padilla	CITY	LOCATION	1
Palmer	CITY	LOCATION	1
Parker	CITY	LOCATION	1
Parsons	CITY	LOCATION	1
Patterson	CITY	LOCATION	1
Pena	CITY	LOCATION	1
Perez	CITY	LOCATION	1
Perry	CITY	LOCATION	1
Phoenix	CITY	LOCATION	1
Poole	CITY	LOCATION	1
Powell	CITY	LOCATION	1
Preston	CITY	LOCATION	1
Price	CITY	LOCATION	1
Ramos	CITY	LOCATION	1
Ramsey	CITY	LOCATION	1
Randolph	CITY	LOCATION	1
Ray	CITY	LOCATION	1
Raymond	CITY	LOCATION	1
Reyes	CITY	LOCATION	1
Richardson	CITY	LOCATION	1
Richmond	CITY	LOCATION	1
Rivas	CITY	LOCATION	1
Rivera	CITY	LOCATION	1
Rivers	CITY	LOCATION	1
Robertson	CITY	LOCATION	1
Robinson	CITY	LOCATION	1
Rocha	CITY	LOCATION	1
Rogers	CITY	LOCATION	1
Roman	CITY	LOCATION	1
Rosario	CITY	LOCATION	1
Roth	CITY	LOCATION	1
Roy	CITY	LOCATION	1
Rubio	CITY	LOCATION	1
Ruiz	CITY	LOCATION	1
Rush	CITY	LOCATION	1
Russell	CITY	LOCATION	1
Salas	CITY	LOCATION	1
Salinas	CITY	LOCATION	1
Sanchez	CITY	LOCATION	1
Sanford	CITY	LOCATION	1
Santana	CITY	LOCATION	1
Santiago	CITY	LOCATION	1
Santos	CITY	LOCATION	1
Savage	CITY	LOCATION	1
Schroeder	CITY	LOCATION	1
Shannon	CITY	LOCATION	1
Shelton	CITY	LOCATION	1
Sherman	CITY	LOCATION	1
Singleton	CITY	LOCATION	1
Snyder	CITY	LOCATION	1
Sparks	CITY	LOCATION	1
Spencer	CITY	LOCATION	1
Stafford	CITY	LOCATION	1
Stanley	CITY	LOCATION	1
Stanton	CITY	LOCATION	1
Stein	CITY	LOCATION	1
Stuart	CITY	LOCATION	1
Suarez	CITY	LOCATION	1
Sutton	CITY	LOCATION	1
Tapia	CITY	LOCATION	1
Taylor	CITY	LOCATION	1
Terrell	CITY	LOCATION	1
Thompson	CITY	LOCATION	1
Thornton	CITY	LOCATION	1
Torres	CITY	LOCATION	1
Townsend	CITY	LOCATION	1
Tran	CITY	LOCATION	1
Trujillo	CITY	LOCATION	1
Tucker	CITY	LOCATION	1
Turner	CITY	LOCATION	1
Tyler	CITY	LOCATION	1
Valdez	CITY	LOCATION	1
Valencia	CITY	LOCATION	1
Valenzuela	CITY	LOCATION	1
Vargas	CITY	LOCATION	1
Velez	CITY	LOCATION	1
Villanueva	CITY	LOCATION	1
Walker	CITY	LOCATION	1
Ware	CITY	LOCATION	1
Warren	CITY	LOCATION	1
Webster	CITY	LOCATION	1
Wells	CITY	LOCATION	1
Wilson	CITY	LOCATION	1
Woodward	CITY	LOCATION	1
Wright	CITY	LOCATION	1
York	CITY	LOCATION	1
Young	CITY	LOCATION	1
Zamora	CITY	LOCATION	1
Rep\.?	TITLE	1
Speaker	TITLE	1
US-headquartered	COUNTRY	MISC	1
US-owned	COUNTRY	MISC	1
US-controlled	COUNTRY	MISC	1
US-raised	COUNTRY	MISC	1
US-educated	COUNTRY	MISC	1
US-backed	COUNTRY	MISC	1
US-trained	COUNTRY	MISC	1
US-born	COUNTRY	MISC	1
US-area	COUNTRY	MISC	1
US-registered	COUNTRY	MISC	1
AL-headquartered	STATE_OR_PROVINCE	MISC	1
AL-owned	STATE_OR_PROVINCE	MISC	1
AL-controlled	STATE_OR_PROVINCE	MISC	1
AL-raised	STATE_OR_PROVINCE	MISC	1
AL-educated	STATE_OR_PROVINCE	MISC	1
AL-backed	STATE_OR_PROVINCE	MISC	1
AL-trained	STATE_OR_PROVINCE	MISC	1
AL-born	STATE_OR_PROVINCE	MISC	1
AL-area	STATE_OR_PROVINCE	MISC	1
AL-registered	STATE_OR_PROVINCE	MISC	1
AK-headquartered	STATE_OR_PROVINCE	MISC	1
AK-owned	STATE_OR_PROVINCE	MISC	1
AK-controlled	STATE_OR_PROVINCE	MISC	1
AK-raised	STATE_OR_PROVINCE	MISC	1
AK-educated	STATE_OR_PROVINCE	MISC	1
AK-backed	STATE_OR_PROVINCE	MISC	1
AK-trained	STATE_OR_PROVINCE	MISC	1
AK-born	STATE_OR_PROVINCE	MISC	1
AK-area	STATE_OR_PROVINCE	MISC	1
AK-registered	STATE_OR_PROVINCE	MISC	1
AS-headquartered	STATE_OR_PROVINCE	MISC	1
AS-owned	STATE_OR_PROVINCE	MISC	1
AS-controlled	STATE_OR_PROVINCE	MISC	1
AS-raised	STATE_OR_PROVINCE	MISC	1
AS-educated	STATE_OR_PROVINCE	MISC	1
AS-backed	STATE_OR_PROVINCE	MISC	1
AS-trained	STATE_OR_PROVINCE	MISC	1
AS-born	STATE_OR_PROVINCE	MISC	1
AS-area	STATE_OR_PROVINCE	MISC	1
AS-registered	STATE_OR_PROVINCE	MISC	1
AZ-headquartered	STATE_OR_PROVINCE	MISC	1
AZ-owned	STATE_OR_PROVINCE	MISC	1
AZ-controlled	STATE_OR_PROVINCE	MISC	1
AZ-raised	STATE_OR_PROVINCE	MISC	1
AZ-educated	STATE_OR_PROVINCE	MISC	1
AZ-backed	STATE_OR_PROVINCE	MISC	1
AZ-trained	STATE_OR_PROVINCE	MISC	1
AZ-born	STATE_OR_PROVINCE	MISC	1
AZ-area	STATE_OR_PROVINCE	MISC	1
AZ-registered	STATE_OR_PROVINCE	MISC	1
AR-headquartered	STATE_OR_PROVINCE	MISC	1
AR-owned	STATE_OR_PROVINCE	MISC	1
AR-controlled	STATE_OR_PROVINCE	MISC	1
AR-raised	STATE_OR_PROVINCE	MISC	1
AR-educated	STATE_OR_PROVINCE	MISC	1
AR-backed	STATE_OR_PROVINCE	MISC	1
AR-trained	STATE_OR_PROVINCE	MISC	1
AR-born	STATE_OR_PROVINCE	MISC	1
AR-area	STATE_OR_PROVINCE	MISC	1
AR-registered	STATE_OR_PROVINCE	MISC	1
CA-headquartered	STATE_OR_PROVINCE	MISC	1
CA-owned	STATE_OR_PROVINCE	MISC	1
CA-controlled	STATE_OR_PROVINCE	MISC	1
CA-raised	STATE_OR_PROVINCE	MISC	1
CA-educated	STATE_OR_PROVINCE	MISC	1
CA-backed	STATE_OR_PROVINCE	MISC	1
CA-trained	STATE_OR_PROVINCE	MISC	1
CA-born	STATE_OR_PROVINCE	MISC	1
CA-area	STATE_OR_PROVINCE	MISC	1
CA-registered	STATE_OR_PROVINCE	MISC	1
CO-headquartered	STATE_OR_PROVINCE	MISC	1
CO-owned	STATE_OR_PROVINCE	MISC	1
CO-controlled	STATE_OR_PROVINCE	MISC	1
CO-raised	STATE_OR_PROVINCE	MISC	1
CO-educated	STATE_OR_PROVINCE	MISC	1
CO-backed	STATE_OR_PROVINCE	MISC	1
CO-trained	STATE_OR_PROVINCE	MISC	1
CO-born	STATE_OR_PROVINCE	MISC	1
CO-area	STATE_OR_PROVINCE	MISC	1
CO-registered	STATE_OR_PROVINCE	MISC	1
CT-headquartered	STATE_OR_PROVINCE	MISC	1
CT-owned	STATE_OR_PROVINCE	MISC	1
CT-controlled	STATE_OR_PROVINCE	MISC	1
CT-raised	STATE_OR_PROVINCE	MISC	1
CT-educated	STATE_OR_PROVINCE	MISC	1
CT-backed	STATE_OR_PROVINCE	MISC	1
CT-trained	STATE_OR_PROVINCE	MISC	1
CT-born	STATE_OR_PROVINCE	MISC	1
CT-area	STATE_OR_PROVINCE	MISC	1
CT-registered	STATE_OR_PROVINCE	MISC	1
DE-headquartered	STATE_OR_PROVINCE	MISC	1
DE-owned	STATE_OR_PROVINCE	MISC	1
DE-controlled	STATE_OR_PROVINCE	MISC	1
DE-raised	STATE_OR_PROVINCE	MISC	1
DE-educated	STATE_OR_PROVINCE	MISC	1
DE-backed	STATE_OR_PROVINCE	MISC	1
DE-trained	STATE_OR_PROVINCE	MISC	1
DE-born	STATE_OR_PROVINCE	MISC	1
DE-area	STATE_OR_PROVINCE	MISC	1
DE-registered	STATE_OR_PROVINCE	MISC	1
DC-headquartered	STATE_OR_PROVINCE	MISC	1
DC-owned	STATE_OR_PROVINCE	MISC	1
DC-controlled	STATE_OR_PROVINCE	MISC	1
DC-raised	STATE_OR_PROVINCE	MISC	1
DC-educated	STATE_OR_PROVINCE	MISC	1
DC-backed	STATE_OR_PROVINCE	MISC	1
DC-trained	STATE_OR_PROVINCE	MISC	1
DC-born	STATE_OR_PROVINCE	MISC	1
DC-area	STATE_OR_PROVINCE	MISC	1
DC-registered	STATE_OR_PROVINCE	MISC	1
FL-headquartered	STATE_OR_PROVINCE	MISC	1
FL-owned	STATE_OR_PROVINCE	MISC	1
FL-controlled	STATE_OR_PROVINCE	MISC	1
FL-raised	STATE_OR_PROVINCE	MISC	1
FL-educated	STATE_OR_PROVINCE	MISC	1
FL-backed	STATE_OR_PROVINCE	MISC	1
FL-trained	STATE_OR_PROVINCE	MISC	1
FL-born	STATE_OR_PROVINCE	MISC	1
FL-area	STATE_OR_PROVINCE	MISC	1
FL-registered	STATE_OR_PROVINCE	MISC	1
GA-headquartered	STATE_OR_PROVINCE	MISC	1
GA-owned	STATE_OR_PROVINCE	MISC	1
GA-controlled	STATE_OR_PROVINCE	MISC	1
GA-raised	STATE_OR_PROVINCE	MISC	1
GA-educated	STATE_OR_PROVINCE	MISC	1
GA-backed	STATE_OR_PROVINCE	MISC	1
GA-trained	STATE_OR_PROVINCE	MISC	1
GA-born	STATE_OR_PROVINCE	MISC	1
GA-area	STATE_OR_PROVINCE	MISC	1
GA-registered	STATE_OR_PROVINCE	MISC	1
GU-headquartered	STATE_OR_PROVINCE	MISC	1
GU-owned	STATE_OR_PROVINCE	MISC	1
GU-controlled	STATE_OR_PROVINCE	MISC	1
GU-raised	STATE_OR_PROVINCE	MISC	1
GU-educated	STATE_OR_PROVINCE	MISC	1
GU-backed	STATE_OR_PROVINCE	MISC	1
GU-trained	STATE_OR_PROVINCE	MISC	1
GU-born	STATE_OR_PROVINCE	MISC	1
GU-area	STATE_OR_PROVINCE	MISC	1
GU-registered	STATE_OR_PROVINCE	MISC	1
HI-headquartered	STATE_OR_PROVINCE	MISC	1
HI-owned	STATE_OR_PROVINCE	MISC	1
HI-controlled	STATE_OR_PROVINCE	MISC	1
HI-raised	STATE_OR_PROVINCE	MISC	1
HI-educated	STATE_OR_PROVINCE	MISC	1
HI-backed	STATE_OR_PROVINCE	MISC	1
HI-trained	STATE_OR_PROVINCE	MISC	1
HI-born	STATE_OR_PROVINCE	MISC	1
HI-area	STATE_OR_PROVINCE	MISC	1
HI-registered	STATE_OR_PROVINCE	MISC	1
ID-headquartered	STATE_OR_PROVINCE	MISC	1
ID-owned	STATE_OR_PROVINCE	MISC	1
ID-controlled	STATE_OR_PROVINCE	MISC	1
ID-raised	STATE_OR_PROVINCE	MISC	1
ID-educated	STATE_OR_PROVINCE	MISC	1
ID-backed	STATE_OR_PROVINCE	MISC	1
ID-trained	STATE_OR_PROVINCE	MISC	1
ID-born	STATE_OR_PROVINCE	MISC	1
ID-area	STATE_OR_PROVINCE	MISC	1
ID-registered	STATE_OR_PROVINCE	MISC	1
IL-headquartered	STATE_OR_PROVINCE	MISC	1
IL-owned	STATE_OR_PROVINCE	MISC	1
IL-controlled	STATE_OR_PROVINCE	MISC	1
IL-raised	STATE_OR_PROVINCE	MISC	1
IL-educated	STATE_OR_PROVINCE	MISC	1
IL-backed	STATE_OR_PROVINCE	MISC	1
IL-trained	STATE_OR_PROVINCE	MISC	1
IL-born	STATE_OR_PROVINCE	MISC	1
IL-area	STATE_OR_PROVINCE	MISC	1
IL-registered	STATE_OR_PROVINCE	MISC	1
IN-headquartered	STATE_OR_PROVINCE	MISC	1
IN-owned	STATE_OR_PROVINCE	MISC	1
IN-controlled	STATE_OR_PROVINCE	MISC	1
IN-raised	STATE_OR_PROVINCE	MISC	1
IN-educated	STATE_OR_PROVINCE	MISC	1
IN-backed	STATE_OR_PROVINCE	MISC	1
IN-trained	STATE_OR_PROVINCE	MISC	1
